"word","instance","correct"
"activate.v.bnc",709504,1
"activate.v.bnc",709504,1
"activate.v.bnc",709504,1
"activate.v.bnc",709504,1
"activate.v.bnc",709504,0
"activate.v.bnc",709504,1
"activate.v.bnc",709504,1
"activate.v.bnc",709504,1
"activate.v.bnc",1308739,1
"activate.v.bnc",1308739,1
"activate.v.bnc",1308739,0
"activate.v.bnc",1308739,1
"activate.v.bnc",1308739,1
"activate.v.bnc",1308739,1
"activate.v.bnc",1308739,1
"activate.v.bnc",1308739,1
"appear.v.bnc",44874,1
"appear.v.bnc",44874,1
"appear.v.bnc",44874,1
"appear.v.bnc",44874,0
"appear.v.bnc",44874,1
"appear.v.bnc",44874,0
"appear.v.bnc",44874,0
"appear.v.bnc",44874,1
"argument.n.bnc",135953,1
"argument.n.bnc",135953,1
"argument.n.bnc",135953,1
"argument.n.bnc",135953,0
"argument.n.bnc",135953,1
"argument.n.bnc",135953,1
"argument.n.bnc",135953,0
"argument.n.bnc",135953,1
"arm.n.bnc",71038,1
"arm.n.bnc",71038,1
"arm.n.bnc",71038,1
"arm.n.bnc",71038,1
"arm.n.bnc",71038,1
"arm.n.bnc",71038,1
"arm.n.bnc",71038,0
"arm.n.bnc",71038,1
"ask.v.bnc",6991,1
"ask.v.bnc",6991,1
"ask.v.bnc",6991,1
"ask.v.bnc",6991,0
"ask.v.bnc",6991,1
"ask.v.bnc",6991,1
"ask.v.bnc",6991,1
"ask.v.bnc",6991,1
"atmosphere.n.bnc",187614,0
"atmosphere.n.bnc",187614,1
"atmosphere.n.bnc",187614,1
"atmosphere.n.bnc",187614,1
"atmosphere.n.bnc",187614,1
"atmosphere.n.bnc",187614,1
"atmosphere.n.bnc",187614,1
"atmosphere.n.bnc",187614,1
"bank.n.bnc",69881,1
"bank.n.bnc",69881,0
"bank.n.bnc",69881,1
"bank.n.bnc",69881,1
"bank.n.bnc",69881,0
"bank.n.bnc",69881,1
"bank.n.bnc",69881,1
"bank.n.bnc",69881,1
"different.a.bnc",44391,1
"different.a.bnc",44391,0
"different.a.bnc",44391,0
"different.a.bnc",44391,1
"different.a.bnc",44391,0
"different.a.bnc",44391,1
"different.a.bnc",44391,1
"different.a.bnc",44391,1
"disc.n.bnc",221477,1
"disc.n.bnc",221477,1
"disc.n.bnc",221477,1
"disc.n.bnc",221477,1
"disc.n.bnc",221477,1
"disc.n.bnc",221477,0
"disc.n.bnc",221477,1
"disc.n.bnc",221477,0
"eat.v.bnc",31700,1
"eat.v.bnc",31700,1
"eat.v.bnc",31700,1
"eat.v.bnc",31700,1
"eat.v.bnc",31700,1
"eat.v.bnc",31700,1
"eat.v.bnc",31700,1
"eat.v.bnc",31700,0
"plan.n.bnc",59052,1
"plan.n.bnc",59052,1
"plan.n.bnc",59052,1
"plan.n.bnc",59052,0
"plan.n.bnc",59052,1
"plan.n.bnc",59052,1
"plan.n.bnc",59052,1
"plan.n.bnc",59052,0
