classifier,bootstrap,colocation,cooccurrence,base_word,dependency_parsing,run_id
pn,0,0,0,0,1,8000
pn,0,0,0,1,1,8001
pn,0,0,1,0,1,8002
pn,0,0,1,1,1,8003
pn,0,1,0,0,1,8004
pn,0,1,0,1,1,8005
pn,0,1,1,0,1,8006
pn,0,1,1,1,1,8007
pn,0,2,0,0,1,8008
pn,0,2,0,1,1,8009
pn,0,2,1,0,1,8010
pn,0,2,1,1,1,8011
pn,0,4,0,0,1,8012
pn,0,4,0,1,1,8013
pn,0,4,1,0,1,8014
pn,0,4,1,1,1,8015
pn,0,8,0,0,1,8016
pn,0,8,0,1,1,8017
pn,0,8,1,0,1,8018
pn,0,8,1,1,1,8019
pn,1,0,0,0,1,8020
pn,1,0,0,1,1,8021
pn,1,0,1,0,1,8022
pn,1,0,1,1,1,8023
pn,1,1,0,0,1,8024
pn,1,1,0,1,1,8025
pn,1,1,1,0,1,8026
pn,1,1,1,1,1,8027
pn,1,2,0,0,1,8028
pn,1,2,0,1,1,8029
pn,1,2,1,0,1,8030
pn,1,2,1,1,1,8031
pn,1,4,0,0,1,8032
pn,1,4,0,1,1,8033
pn,1,4,1,0,1,8034
pn,1,4,1,1,1,8035
pn,1,8,0,0,1,8036
pn,1,8,0,1,1,8037
pn,1,8,1,0,1,8038
pn,1,8,1,1,1,8039
pn,2,0,0,0,1,8040
pn,2,0,0,1,1,8041
pn,2,0,1,0,1,8042
pn,2,0,1,1,1,8043
pn,2,1,0,0,1,8044
pn,2,1,0,1,1,8045
pn,2,1,1,0,1,8046
pn,2,1,1,1,1,8047
pn,2,2,0,0,1,8048
pn,2,2,0,1,1,8049
pn,2,2,1,0,1,8050
pn,2,2,1,1,1,8051
pn,2,4,0,0,1,8052
pn,2,4,0,1,1,8053
pn,2,4,1,0,1,8054
pn,2,4,1,1,1,8055
pn,2,8,0,0,1,8056
pn,2,8,0,1,1,8057
pn,2,8,1,0,1,8058
pn,2,8,1,1,1,8059
pn,4,0,0,0,1,8060
pn,4,0,0,1,1,8061
pn,4,0,1,0,1,8062
pn,4,0,1,1,1,8063
pn,4,1,0,0,1,8064
pn,4,1,0,1,1,8065
pn,4,1,1,0,1,8066
pn,4,1,1,1,1,8067
pn,4,2,0,0,1,8068
pn,4,2,0,1,1,8069
pn,4,2,1,0,1,8070
pn,4,2,1,1,1,8071
pn,4,4,0,0,1,8072
pn,4,4,0,1,1,8073
pn,4,4,1,0,1,8074
pn,4,4,1,1,1,8075
pn,4,8,0,0,1,8076
pn,4,8,0,1,1,8077
pn,4,8,1,0,1,8078
pn,4,8,1,1,1,8079
t,0,0,0,0,1,8080
t,0,0,0,1,1,8081
t,0,0,1,0,1,8082
t,0,0,1,1,1,8083
t,0,1,0,0,1,8084
t,0,1,0,1,1,8085
t,0,1,1,0,1,8086
t,0,1,1,1,1,8087
t,0,2,0,0,1,8088
t,0,2,0,1,1,8089
t,0,2,1,0,1,8090
t,0,2,1,1,1,8091
t,0,4,0,0,1,8092
t,0,4,0,1,1,8093
t,0,4,1,0,1,8094
t,0,4,1,1,1,8095
t,0,8,0,0,1,8096
t,0,8,0,1,1,8097
t,0,8,1,0,1,8098
t,0,8,1,1,1,8099
