word,instance
activate.v.bnc,00024693
activate.v.bnc,00044852
activate.v.bnc,00044866
activate.v.bnc,00044869
activate.v.bnc,00050506
activate.v.bnc,00050507
activate.v.bnc,00056554
activate.v.bnc,00056686
activate.v.bnc,00067644
activate.v.bnc,00067694
activate.v.bnc,00072657
activate.v.bnc,00089813
activate.v.bnc,00099439
activate.v.bnc,00195891
activate.v.bnc,00197716
activate.v.bnc,00210727
activate.v.bnc,00248089
activate.v.bnc,00251499
activate.v.bnc,00270989
activate.v.bnc,00307829
activate.v.bnc,00312935
activate.v.bnc,00357129
activate.v.bnc,00421223
activate.v.bnc,00421381
activate.v.bnc,00430058
activate.v.bnc,00442716
activate.v.bnc,00445800
activate.v.bnc,00455954
activate.v.bnc,00466012
activate.v.bnc,00487700
activate.v.bnc,00504198
activate.v.bnc,00504847
activate.v.bnc,00508510
activate.v.bnc,00509400
activate.v.bnc,00509428
activate.v.bnc,00511084
activate.v.bnc,00511093
activate.v.bnc,00522938
activate.v.bnc,00536782
activate.v.bnc,00538373
activate.v.bnc,00554444
activate.v.bnc,00573075
activate.v.bnc,00600931
activate.v.bnc,00611631
activate.v.bnc,00617820
activate.v.bnc,00617926
activate.v.bnc,00618027
activate.v.bnc,00618308
activate.v.bnc,00618351
activate.v.bnc,00618998
activate.v.bnc,00619004
activate.v.bnc,00619023
activate.v.bnc,00619114
activate.v.bnc,00619117
activate.v.bnc,00619121
activate.v.bnc,00622952
activate.v.bnc,00630111
activate.v.bnc,00635669
activate.v.bnc,00651647
activate.v.bnc,00654570
activate.v.bnc,00660201
activate.v.bnc,00683751
activate.v.bnc,00695679
activate.v.bnc,00709425
activate.v.bnc,00709482
activate.v.bnc,00709491
activate.v.bnc,00709504
activate.v.bnc,00709538
activate.v.bnc,00709542
activate.v.bnc,00795202
activate.v.bnc,00795257
activate.v.bnc,00795259
activate.v.bnc,00795637
activate.v.bnc,00833644
activate.v.bnc,00851793
activate.v.bnc,00851871
activate.v.bnc,00851882
activate.v.bnc,00897037
activate.v.bnc,00928923
activate.v.bnc,00928926
activate.v.bnc,00928939
activate.v.bnc,00931302
activate.v.bnc,00935121
activate.v.bnc,00935123
activate.v.bnc,00935127
activate.v.bnc,00935319
activate.v.bnc,00938095
activate.v.bnc,00939944
activate.v.bnc,00941772
activate.v.bnc,00945604
activate.v.bnc,00945615
activate.v.bnc,00945684
activate.v.bnc,00953632
activate.v.bnc,00953642
activate.v.bnc,00958265
activate.v.bnc,00962430
activate.v.bnc,00969714
activate.v.bnc,00972290
activate.v.bnc,00972291
activate.v.bnc,00975929
activate.v.bnc,00997343
activate.v.bnc,01000398
activate.v.bnc,01000863
activate.v.bnc,01003340
activate.v.bnc,01009610
activate.v.bnc,01039017
activate.v.bnc,01052885
activate.v.bnc,01053057
activate.v.bnc,01064435
activate.v.bnc,01100525
activate.v.bnc,01102725
activate.v.bnc,01123744
activate.v.bnc,01128832
activate.v.bnc,01133779
activate.v.bnc,01169757
activate.v.bnc,01170345
activate.v.bnc,01171650
activate.v.bnc,01172145
activate.v.bnc,01172270
activate.v.bnc,01178361
activate.v.bnc,01199683
activate.v.bnc,01199697
activate.v.bnc,01199701
activate.v.bnc,01201521
activate.v.bnc,01204487
activate.v.bnc,01206797
activate.v.bnc,01210816
activate.v.bnc,01276214
activate.v.bnc,01276219
activate.v.bnc,01279048
activate.v.bnc,01292892
activate.v.bnc,01308739
activate.v.bnc,01318494
activate.v.bnc,01366679
activate.v.bnc,01371077
activate.v.bnc,01371597
activate.v.bnc,01371666
activate.v.bnc,01372084
activate.v.bnc,01372090
activate.v.bnc,01374857
activate.v.bnc,01415729
activate.v.bnc,01450597
