"word","instance","correct"
"activate.v.bnc",709504,"FALSE"
"activate.v.bnc",709504,"TRUE"
"activate.v.bnc",709504,"TRUE"
"activate.v.bnc",709504,"TRUE"
"activate.v.bnc",709504,"FALSE"
"activate.v.bnc",709504,"FALSE"
"activate.v.bnc",709504,"FALSE"
"activate.v.bnc",709504,"TRUE"
"activate.v.bnc",1308739,"FALSE"
"activate.v.bnc",1308739,"FALSE"
"activate.v.bnc",1308739,"TRUE"
"activate.v.bnc",1308739,"FALSE"
"activate.v.bnc",1308739,"TRUE"
"activate.v.bnc",1308739,"TRUE"
"activate.v.bnc",1308739,"TRUE"
"activate.v.bnc",1308739,"FALSE"
"appear.v.bnc",44874,"TRUE"
"appear.v.bnc",44874,"TRUE"
"appear.v.bnc",44874,"TRUE"
"appear.v.bnc",44874,"TRUE"
"appear.v.bnc",44874,"TRUE"
"appear.v.bnc",44874,"TRUE"
"appear.v.bnc",44874,"TRUE"
"appear.v.bnc",44874,"FALSE"
"argument.n.bnc",135953,"TRUE"
"argument.n.bnc",135953,"TRUE"
"argument.n.bnc",135953,"FALSE"
"argument.n.bnc",135953,"FALSE"
"argument.n.bnc",135953,"TRUE"
"argument.n.bnc",135953,"TRUE"
"argument.n.bnc",135953,"TRUE"
"argument.n.bnc",135953,"TRUE"
"arm.n.bnc",71038,"FALSE"
"arm.n.bnc",71038,"TRUE"
"arm.n.bnc",71038,"TRUE"
"arm.n.bnc",71038,"TRUE"
"arm.n.bnc",71038,"TRUE"
"arm.n.bnc",71038,"TRUE"
"arm.n.bnc",71038,"TRUE"
"arm.n.bnc",71038,"FALSE"
"ask.v.bnc",6991,"FALSE"
"ask.v.bnc",6991,"TRUE"
"ask.v.bnc",6991,"TRUE"
"ask.v.bnc",6991,"TRUE"
"ask.v.bnc",6991,"TRUE"
"ask.v.bnc",6991,"TRUE"
"ask.v.bnc",6991,"FALSE"
"ask.v.bnc",6991,"TRUE"
"atmosphere.n.bnc",187614,"FALSE"
"atmosphere.n.bnc",187614,"FALSE"
"atmosphere.n.bnc",187614,"TRUE"
"atmosphere.n.bnc",187614,"TRUE"
"atmosphere.n.bnc",187614,"TRUE"
"atmosphere.n.bnc",187614,"TRUE"
"atmosphere.n.bnc",187614,"FALSE"
"atmosphere.n.bnc",187614,"TRUE"
"bank.n.bnc",69881,"TRUE"
"bank.n.bnc",69881,"TRUE"
"bank.n.bnc",69881,"TRUE"
"bank.n.bnc",69881,"FALSE"
"bank.n.bnc",69881,"FALSE"
"bank.n.bnc",69881,"FALSE"
"bank.n.bnc",69881,"TRUE"
"bank.n.bnc",69881,"TRUE"
"different.a.bnc",44391,"TRUE"
"different.a.bnc",44391,"TRUE"
"different.a.bnc",44391,"FALSE"
"different.a.bnc",44391,"TRUE"
"different.a.bnc",44391,"TRUE"
"different.a.bnc",44391,"FALSE"
"different.a.bnc",44391,"TRUE"
"different.a.bnc",44391,"TRUE"
"disc.n.bnc",221477,"TRUE"
"disc.n.bnc",221477,"TRUE"
"disc.n.bnc",221477,"FALSE"
"disc.n.bnc",221477,"FALSE"
"disc.n.bnc",221477,"TRUE"
"disc.n.bnc",221477,"TRUE"
"disc.n.bnc",221477,"TRUE"
"disc.n.bnc",221477,"FALSE"
"eat.v.bnc",31700,"TRUE"
"eat.v.bnc",31700,"TRUE"
"eat.v.bnc",31700,"TRUE"
"eat.v.bnc",31700,"TRUE"
"eat.v.bnc",31700,"TRUE"
"eat.v.bnc",31700,"FALSE"
"eat.v.bnc",31700,"FALSE"
"eat.v.bnc",31700,"TRUE"
"plan.n.bnc",59052,"TRUE"
"plan.n.bnc",59052,"TRUE"
"plan.n.bnc",59052,"FALSE"
"plan.n.bnc",59052,"TRUE"
"plan.n.bnc",59052,"TRUE"
"plan.n.bnc",59052,"TRUE"
"plan.n.bnc",59052,"TRUE"
"plan.n.bnc",59052,"FALSE"
